#Generated by rmSameProtPair_deleteFL{} in PSHomPPI.pm
#Homologs listed in /data/web_servers/lxue/PSHOMPPIv1.3/uploadData/Mon_Feb__9_07_13_01_2015.14.test1/delete.lst are removed from /data/web_servers/lxue/PSHOMPPIv1.3/uploadData/Mon_Feb__9_07_13_01_2015.14.test1/statistics_qryIDpair.txt
#num_residue1: the length of the seq.
#num_residue2: the number of resi that have (non)int information.
#num_residue1_P: the length of the partner.
#Frac_Q: (endQ-startQ+1)/lenQ
#Frac_H: (endH-startH+1)/lenH
#Frac_P: (endP-startP+1)/lenP
#Frac_HP: (endHP-startHP+1)/lenHP
#format:
#>QUERY PDBID + CHAINID|CHAINID:INTERACTING CHAINID
#HOMOLOG-PDBID+CHAINID|CHAINID:INTERACTING CHAINID	Num_Int	num_residue1	num_residue2	num_residue1_P	Bit_score	Eval_H	Eval_HP	PositiveS_H	PositiveS_HP	IdentityS_H	IdentityS_HP	alignLen_H	alignLen_HP	Frac_Q	Frac_H	Frac_P	Frac_HP	TP	TN	FP	FN	CC	Specificity	Sensitivity	Accuracy
>A1|A1:B1	Nan	164	Nan	137
1fglA|A:B	17	165	165	25	308	2e-108	2e-08	100.00	92.00	100.00	92.00	164	25	1	0.993939393939394	0.18	1.00								
1m9xB|B:C	24	165	164	146	308	2e-108	7e-85	100.00	97.79	100.00	96.32	164	136	1	0.993939393939394	0.99	0.93								
2xgyB|B:A	21	173	165	149	307	4e-108	2e-07	100.00	52.70	100.00	32.43	164	74	1	0.947976878612717	0.53	0.50								
1m9xE|E:H	16	165	165	146	308	2e-108	7e-85	100.00	97.79	100.00	96.32	164	136	1	0.993939393939394	0.99	0.93								
1m9xF|F:G	25	165	164	146	308	2e-108	7e-85	100.00	97.79	100.00	96.32	164	136	1	0.993939393939394	0.99	0.93								
1m9dA|A:D	14	165	165	146	308	2e-108	2e-82	100.00	96.32	100.00	94.12	164	136	1	0.993939393939394	0.99	0.93								
1m9dB|B:C	17	165	163	146	308	2e-108	2e-82	100.00	96.32	100.00	94.12	164	136	1	0.993939393939394	0.99	0.93								
1m9xA|A:D	15	165	165	146	308	2e-108	7e-85	100.00	97.79	100.00	96.32	164	136	1	0.993939393939394	0.99	0.93								
1m9xA|A:G	4	165	165	146	308	2e-108	7e-85	100.00	97.79	100.00	96.32	164	136	1	0.993939393939394	0.99	0.93								
4dgaB|B:D	13	165	159	146	304	7e-107	6e-81	99.39	95.56	98.78	93.33	164	135	1	0.993939393939394	0.99	0.92								
4dgaA|A:C	15	165	161	146	304	7e-107	6e-81	99.39	95.56	98.78	93.33	164	135	1	0.993939393939394	0.99	0.92								
4dgeA|A:C	18	165	164	146	300	3e-105	6e-81	98.78	95.56	98.17	93.33	164	135	1	0.993939393939394	0.99	0.92								
4dgeB|B:D	20	165	164	146	300	3e-105	6e-81	98.78	95.56	98.17	93.33	164	135	1	0.993939393939394	0.99	0.92								
>B1|B1:A1	Nan	137	Nan	164
1m9xC|C:B	12	146	146	165	246	7e-85	2e-108	97.79	100.00	96.32	100.00	136	164	0.992700729927007	0.931506849315068	1.00	0.99								
1m9xD|D:A	8	146	135	165	246	7e-85	2e-108	97.79	100.00	96.32	100.00	136	164	0.992700729927007	0.931506849315068	1.00	0.99								
1m9xG|G:A	9	146	146	165	246	7e-85	2e-108	97.79	100.00	96.32	100.00	136	164	0.992700729927007	0.931506849315068	1.00	0.99								
1m9xH|H:E	9	146	135	165	246	7e-85	2e-108	97.79	100.00	96.32	100.00	136	164	0.992700729927007	0.931506849315068	1.00	0.99								
1m9xG|G:F	11	146	146	165	246	7e-85	2e-108	97.79	100.00	96.32	100.00	136	164	0.992700729927007	0.931506849315068	1.00	0.99								
1m9dD|D:A	8	146	146	165	240	2e-82	2e-108	96.32	100.00	94.12	100.00	136	164	0.992700729927007	0.931506849315068	1.00	0.99								
1m9dC|C:B	7	146	146	165	240	2e-82	2e-108	96.32	100.00	94.12	100.00	136	164	0.992700729927007	0.931506849315068	1.00	0.99								
4dgaD|D:B	6	146	134	165	236	6e-81	7e-107	95.56	99.39	93.33	98.78	135	164	0.985401459854015	0.924657534246575	1.00	0.99								
4dgeD|D:B	14	146	145	165	236	6e-81	3e-105	95.56	98.78	93.33	98.17	135	164	0.985401459854015	0.924657534246575	1.00	0.99								
4dgaC|C:A	8	146	138	165	236	6e-81	7e-107	95.56	99.39	93.33	98.78	135	164	0.985401459854015	0.924657534246575	1.00	0.99								
4dgeC|C:A	10	146	136	165	236	6e-81	3e-105	95.56	98.78	93.33	98.17	135	164	0.985401459854015	0.924657534246575	1.00	0.99								
1fglB|B:A	9	25	11	165	47.8	2e-08	2e-108	92.00	100.00	92.00	100.00	25	164	0.182481751824818	1	1.00	0.99								
2xgyA|A:B	21	149	129	173	45.7	2e-07	4e-108	52.70	100.00	32.43	100.00	74	164	0.532846715328467	0.496644295302013	1.00	0.95								
