#num_residue1: the length of the seq.
#num_residue2: the number of resi that have (non)int information.
#num_residue1_P: the length of the partner.
#Frac_Q: (endQ-startQ+1)/lenQ
#Frac_H: (endH-startH+1)/lenH
#Frac_P: (endP-startP+1)/lenP
#Frac_HP: (endHP-startHP+1)/lenHP
#format:
#>QUERY PDBID + CHAINID|CHAINID:INTERACTING CHAINID
#HOMOLOG-PDBID+CHAINID|CHAINID:INTERACTING CHAINID	Num_Int	num_residue1	num_residue2	num_residue1_P	Bit_score	Eval_H	Eval_HP	PositiveS_H	PositiveS_HP	IdentityS_H	IdentityS_HP	alignLen_H	alignLen_HP	Frac_Q	Frac_H	Frac_P	Frac_HP	TP	TN	FP	FN	CC	Specificity	Sensitivity	Accuracy
>A1|A1:B1	Nan	164	Nan	137
1fglA|A:B	17	165	165	25	308	2e-108	2e-08	100.00	92.00	100.00	92.00	164	25	1	0.993939393939394	0.18	1.00								
1m9fA|A:D	17	165	165	146	308	2e-108	1e-85	100.00	98.53	100.00	97.06	164	136	1	0.993939393939394	0.99	0.93								
1ak4B|B:C	23	165	163	145	308	2e-108	9e-87	100.00	100.00	100.00	98.52	164	135	1	0.993939393939394	0.99	0.93								
1m9xB|B:C	24	165	164	146	308	2e-108	7e-85	100.00	97.79	100.00	96.32	164	136	1	0.993939393939394	0.99	0.93								
2xgyB|B:A	21	173	165	149	307	4e-108	2e-07	100.00	52.70	100.00	32.43	164	74	1	0.947976878612717	0.53	0.50								
1m9xE|E:H	16	165	165	146	308	2e-108	7e-85	100.00	97.79	100.00	96.32	164	136	1	0.993939393939394	0.99	0.93								
1ak4A|A:D	21	165	165	145	308	2e-108	9e-87	100.00	100.00	100.00	98.52	164	135	1	0.993939393939394	0.99	0.93								
1m9yF|F:G	20	165	164	146	308	2e-108	1e-85	100.00	98.53	100.00	97.06	164	136	1	0.993939393939394	0.99	0.93								
1m9eB|B:C	19	164	162	146	306	1e-107	3e-86	100.00	99.26	100.00	97.79	163	136	0.99390243902439	0.99390243902439	0.99	0.93								
1m9fB|B:C	23	165	164	146	308	2e-108	1e-85	100.00	98.53	100.00	97.06	164	136	1	0.993939393939394	0.99	0.93								
1m9yB|B:C	20	165	164	146	308	2e-108	1e-85	100.00	98.53	100.00	97.06	164	136	1	0.993939393939394	0.99	0.93								
1m9xF|F:G	25	165	164	146	308	2e-108	7e-85	100.00	97.79	100.00	96.32	164	136	1	0.993939393939394	0.99	0.93								
1m9dA|A:D	14	165	165	146	308	2e-108	2e-82	100.00	96.32	100.00	94.12	164	136	1	0.993939393939394	0.99	0.93								
